,Lst,Rto,Sce,Yli,s2,s3,s4
Lst|G1IA6-17793-MONOMER,Lipst1_1_68581,11558,YGL082W,YALI0E13970g,0.15,0.206,0.172
Lst|G1IA6-17768-MONOMER,Lipst1_1_68421,,,YALI0F04543g,,,0.092
Lst|G1IA6-17138-MONOMER,Lipst1_1_67796,,,YALI0F00968g,,,0.888
Lst|G1IA6-16946-MONOMER,Lipst1_1_67057,12143,YMR010W,YALI0E24145g,0.174,0.179,0.296
Lst|G1IA6-17898-MONOMER,Lipst1_1_90973,,YLR382C,YALI0F02299g,,1.801,1.588
Lst|G1IA6-23705-MONOMER,Lipst1_1_66278,16260,YLR078C,YALI0F31669g,0.5,0.351,0.513
Lst|G1IA6-19617-MONOMER,Lipst1_1_51704,11326,YDL149W,YALI0F08349g,1.89,1.801,1.588
Lst|G1IA6-20465-MONOMER,Lipst1_1_111862,15065,,YALI0E17655g,1.552,,1.371
Lst|G1IA6-20266-MONOMER,Lipst1_1_71180,,YGL255W,,,1.445,
Lst|G1IA6-23348-MONOMER,Lipst1_1_183453,,,YALI0B18304g,,,0.275
Lst|G1IA6-21219-MONOMER,Lipst1_1_4546,8721,YPL132W,YALI0E10065g,0.79,0.757,0.62
Lst|G1IA6-24160-MONOMER,Lipst1_1_7134,8923,YOR039W,YALI0E20955g,0.944,0.763,0.8
Lst|G1IA6-18057-MONOMER,Lipst1_1_1654,,,YALI0B17710g,,,0.095
Lst|G1IA6-22094-MONOMER,Lipst1_1_5362,14280,YPL101W,YALI0F21879g,0.153,0.435,0.379
Lst|G1IA6-19327-MONOMER,Lipst1_1_263551,15776,,,1.345,,
Lst|G1IA6-17624-MONOMER,Lipst1_1_61079,,YPL088W,,,0.987,
Lst|G1IA6-20945-MONOMER,Lipst1_1_95717,11514,YPL008W,YALI0C23639g,1.771,1.801,1.588
Lst|G1IA6-23936-MONOMER,Lipst1_1_59432,10221,YKR074W,YALI0F07579g,0.516,0.43,0.401
Lst|G1IA6-19459-MONOMER,Lipst1_1_2781,15963,YGR020C,YALI0E16192g,0.525,0.508,0.535
Lst|G1IA6-21650-MONOMER,Lipst1_1_4940,8556,YNL163C,YALI0D16291g,1.944,1.801,1.588
Lst|G1IA6-21700-MONOMER,Lipst1_1_55838,13263,YOL048C,YALI0C19943g,0.314,0.155,0.352
Lst|G1IA6-22566-MONOMER,Lipst1_1_74247,,YOR176W,YALI0F19470g,,1.574,1.441
Lst|G1IA6-22708-MONOMER,Lipst1_1_170681,8596,YNL065W,,1.403,0.686,
Lst|G1IA6-20883-MONOMER,Lipst1_1_72261,,,YALI0D27104g,,,0.291
Lst|G1IA6-17040-MONOMER,Lipst1_1_67432,14934,YOR084W,YALI0E05907g,0.266,0.229,0.126
Lst|G1IA6-20365-MONOMER,Lipst1_1_71619,12481,YOR096W,YALI0A10725g,0.925,0.928,0.781
Lst|G1IA6-22986-MONOMER,Lipst1_1_99002,,YEL004W,YALI0E24123g,,0.743,0.949
Lst|G1IA6-18512-MONOMER,Lipst1_1_69309,,YDR326C,YALI0A16291g,,0.756,0.877
Lst|G1IA6-18995-MONOMER,Lipst1_1_51135,13190,YKL024C,YALI0F09339g,0.836,0.945,0.829
Lst|G1IA6-19519-MONOMER,Lipst1_1_2999,8968,YKR016W,YALI0F27555g,0.383,0.212,0.833
Lst|G1IA6-17466-MONOMER,Lipst1_1_213211,14721,,,0.302,,
Lst|G1IA6-20988-MONOMER,Lipst1_1_112147,,,YALI0F17292g,,,0.199
Lst|G1IA6-22233-MONOMER,Lipst1_1_73957,15022,YDL135C,YALI0A07403g,0.478,0.567,0.444
Lst|G1IA6-19743-MONOMER,Lipst1_1_70635,15855,YER134C,YALI0B08294g,0.468,0.327,0.505
Lst|G1IA6-24067-MONOMER,Lipst1_1_100890,14781,YLR026C,YALI0C16819g,0.982,0.661,0.965
Lst|G1IA6-17603-MONOMER,Lipst1_1_48707,16482,YMR035W,YALI0B10978g,0.282,0.428,0.411
Lst|G1IA6-20769-MONOMER,Lipst1_1_63993,9662,YGR284C,YALI0F02189g,1.122,0.822,1.038
Lst|G1IA6-17605-MONOMER,Lipst1_1_48758,,YJL054W,YALI0D24343g,,0.568,0.623
Lst|G1IA6-21283-MONOMER,Lipst1_1_55141,13067,YOR006C,YALI0D19118g,0.683,0.893,0.828
Lst|G1IA6-16807-MONOMER,Lipst1_1_47667,15483,YPL023C,YALI0B14465g,1.944,1.801,1.588
Lst|G1IA6-19955-MONOMER,Lipst1_1_281305,,YOL144W,YALI0A15708g,,0.134,0.172
Lst|G1IA6-18079-MONOMER,Lipst1_1_1745,14147,YMR131C,YALI0C16203g,1.155,1.801,1.489
Lst|G1IA6-21691-MONOMER,Lipst1_1_55563,12496,YML025C,YALI0E20493g,0.141,0.345,0.278
Lst|G1IA6-18572-MONOMER,Lipst1_1_69532,14396,,,0.148,,
Lst|G1IA6-16427-MONOMER,Lipst1_1_108,13449,,YALI0A11099g,1.944,,1.588
Lst|G1IA6-17337-MONOMER,Lipst1_1_1204,15801,YMR109W,YALI0E02046g,1.944,1.801,1.588
Lst|G1IA6-23650-MONOMER,Lipst1_1_191200,11744,,YALI0B03014g,0.72,,0.207
Lst|G1IA6-21894-MONOMER,Lipst1_1_112780,,YDR359C,YALI0D27258g,,0.68,0.763
Lst|G1IA6-19555-MONOMER,Lipst1_1_3143,12459,,YALI0F21901g,0.703,,0.705
Lst|G1IA6-20669-MONOMER,Lipst1_1_4003,16193,YML022W,YALI0D05797g,0.656,0.69,0.737
Lst|G1IA6-17202-MONOMER,Lipst1_1_89278,,YOR155C,YALI0E11913g,,1.329,1.503
Lst|G1IA6-17865-MONOMER,Lipst1_1_820,10885,,YALI0C06930g,0.786,,1.111
Lst|G1IA6-17270-MONOMER,Lipst1_1_1034,9929,YOL049W,YALI0C17831g,1.289,1.286,1.209
Lst|G1IA6-19543-MONOMER,Lipst1_1_3107,10541,,YALI0A01419g,0.262,,0.305
Lst|G1IA6-16861-MONOMER,Lipst1_1_60370,16239,,YALI0E28424g,0.465,,0.326
Lst|G1IA6-16494-MONOMER,Lipst1_1_124271,,YOL148C,YALI0C04070g,,0.26,0.489
Lst|G1IA6-23922-MONOMER,Lipst1_1_39013,,,YALI0B00110g,,,0.199
Lst|G1IA6-20393-MONOMER,Lipst1_1_71724,,YIL124W,,,0.882,
Lst|G1IA6-18424-MONOMER,Lipst1_1_68925,16474,YPR140W,YALI0C14036g,0.399,0.722,0.539
Lst|G1IA6-24161-MONOMER,Lipst1_1_7137,15627,,YALI0C10516g,0.268,,0.511
Lst|G1IA6-23627-MONOMER,Lipst1_1_187515,9082,,,0.449,,
Lst|G1IA6-17673-MONOMER,Lipst1_1_67964,12700,YBL092W,YALI0E30811g,0.321,0.327,0.328
Lst|G1IA6-17809-MONOMER,Lipst1_1_68653,8869,YPL235W,YALI0E31449g,1.944,1.801,1.588
Lst|G1IA6-20936-MONOMER,Lipst1_1_83891,16624,YGR002C,YALI0D09911g,0.508,0.804,0.972
Lst|G1IA6-19005-MONOMER,Lipst1_1_51333,14228,YPR170W-B,,0.118,0.203,
Lst|G1IA6-21388-MONOMER,Lipst1_1_72848,9705,YLR163C,YALI0A14806g,1.944,1.72,1.588
Lst|G1IA6-22108-MONOMER,Lipst1_1_55964,8827,,YALI0E00132g,1.319,,0.703
Lst|G1IA6-20974-MONOMER,Lipst1_1_105823,16528,YGR094W,YALI0F20218g,1.944,1.801,1.588
Lst|G1IA6-19703-MONOMER,Lipst1_1_70474,13042,YOL103W,YALI0F23903g,1.802,1.699,1.588
Lst|G1IA6-17886-MONOMER,Lipst1_1_898,11400,YPL106C,YALI0E13255g,1.944,1.801,1.588
Lst|G1IA6-20658-MONOMER,Lipst1_1_3963,14909,YIR026C,YALI0B11572g,0.19,0.593,0.371
Lst|G1IA6-22905-MONOMER,Lipst1_1_74653,15525,YDR214W,YALI0B15840g,0.642,0.947,1.127
Lst|G1IA6-17918-MONOMER,Lipst1_1_937,,YCL016C,YALI0C19217g,,0.457,0.269
Lst|G1IA6-17626-MONOMER,Lipst1_1_61096,10575,YNL291C,YALI0A02090g,0.321,0.447,0.471
Lst|G1IA6-22586-MONOMER,Lipst1_1_74337,9907,YHR075C,YALI0A20086g,0.782,0.661,0.682
Lst|G1IA6-22328-MONOMER,Lipst1_1_157358,15998,,YALI0E28930g,0.351,,0.356
Lst|G1IA6-22725-MONOMER,Lipst1_1_29963,,YBR028C,YALI0C15444g,,0.959,1.406
Lst|G1IA6-20177-MONOMER,Lipst1_1_3637,,YDR523C,,,0.868,
Lst|G1IA6-20921-MONOMER,Lipst1_1_72413,16483,YOL133W,YALI0B17358g,0.599,0.435,0.415
Lst|G1IA6-17688-MONOMER,Lipst1_1_68035,8773,,YALI0D23573g,0.133,,0.561
Lst|G1IA6-23940-MONOMER,Lipst1_1_66392,14796,,YALI0F18546g,0.915,,0.95
Lst|G1IA6-20572-MONOMER,Lipst1_1_308673,11814,YKR076W,YALI0B20416g,1.422,1.135,1.198
Lst|G1IA6-22333-MONOMER,Lipst1_1_158150,11907,,YALI0A07733g,0.731,,0.809
Lst|G1IA6-21602-MONOMER,Lipst1_1_4756,9347,YKL058W,YALI0F22136g,0.268,0.313,0.321
Lst|G1IA6-17932-MONOMER,Lipst1_1_974,11972,YML130C,YALI0D09603g,0.946,1.057,1.012
Lst|G1IA6-17792-MONOMER,Lipst1_1_68569,,YHR138C,YALI0F11077g,,0.071,0.104
Lst|G1IA6-24135-MONOMER,Lipst1_1_59685,9342,YMR260C,YALI0F21153g,0.671,0.605,0.529
Lst|G1IA6-16990-MONOMER,Lipst1_1_67222,8536,YKL088W,YALI0C06281g,0.66,0.735,0.66
Lst|G1IA6-20907-MONOMER,Lipst1_1_72357,15729,,,0.664,,
Lst|G1IA6-22635-MONOMER,Lipst1_1_106915,14530,YDR440W,YALI0E22715g,0.668,0.536,0.828
Lst|G1IA6-24343-MONOMER,Lipst1_1_76545,12272,,YALI0C09284g,0.814,,1.537
Lst|G1IA6-21213-MONOMER,Lipst1_1_4523,11945,YDR037W,YALI0F16291g,1.944,1.801,1.588
Lst|G1IA6-19822-MONOMER,Lipst1_1_70981,11446,YGR170W,YALI0D03480g,1.944,1.257,1.588
Lst|G1IA6-16950-MONOMER,Lipst1_1_67077,10606,,YALI0F04796g,0.265,,0.278
Lst|G1IA6-16657-MONOMER,Lipst1_1_235,12157,YOR288C,YALI0F29381g,0.405,0.441,0.322
Lst|G1IA6-21186-MONOMER,Lipst1_1_4430,,,YALI0E01672g,,,0.145
Lst|G1IA6-22734-MONOMER,Lipst1_1_34158,12847,YER004W,,0.086,0.353,
Lst|G1IA6-23570-MONOMER,Lipst1_1_75588,10038,YGR205W,YALI0A02717g,0.529,0.353,0.652
Lst|G1IA6-23161-MONOMER,Lipst1_1_6231,,,YALI0D07986g,,,1.098
Lst|G1IA6-18722-MONOMER,Lipst1_1_2253,,,YALI0D07744g,,,0.096
Lst|G1IA6-20832-MONOMER,Lipst1_1_72077,16171,,YALI0D24211g,0.678,,0.491
Lst|G1IA6-22868-MONOMER,Lipst1_1_65565,,YPR169W,YALI0F05588g,,0.409,0.456
Lst|G1IA6-19429-MONOMER,Lipst1_1_275592,14077,YDL056W,YALI0A19778g,1.299,0.864,1.306
Lst|G1IA6-21039-MONOMER,Lipst1_1_313973,15834,YML104C,YALI0F02035g,1.479,0.621,1.588
Lst|G1IA6-23737-MONOMER,Lipst1_1_6739,9093,YFR007W,YALI0E13321g,0.536,0.239,0.427
Lst|G1IA6-23419-MONOMER,Lipst1_1_6391,13079,,YALI0D12562g,0.714,,0.977
Lst|G1IA6-23512-MONOMER,Lipst1_1_75387,10859,,YALI0E09889g,0.899,,0.509
Lst|G1IA6-16889-MONOMER,Lipst1_1_608,,,YALI0E16775g,,,1.588
Lst|G1IA6-20312-MONOMER,Lipst1_1_71401,15254,YDR212W,YALI0B15774g,1.944,1.801,1.588
Lst|G1IA6-21729-MONOMER,Lipst1_1_73132,13006,,,0.268,,
Lst|G1IA6-20150-MONOMER,Lipst1_1_3544,11501,YNR055C,YALI0F03795g,0.989,0.485,1.588
Lst|G1IA6-24069-MONOMER,Lipst1_1_108075,11465,YOL096C,YALI0B15884g,0.476,0.562,0.608
Lst|G1IA6-21856-MONOMER,Lipst1_1_96954,,YPR194C,YALI0A00110g,,1.801,1.588
Lst|G1IA6-19203-MONOMER,Lipst1_1_70234,13286,YHR042W,YALI0D04422g,1.82,1.717,1.588
Lst|G1IA6-22601-MONOMER,Lipst1_1_74417,9596,YLR258W,YALI0F18502g,1.944,1.801,1.588
Lst|G1IA6-18229-MONOMER,Lipst1_1_238263,10356,YHR071W,YALI0E21087g,0.288,0.118,0.341
Lst|G1IA6-19914-MONOMER,Lipst1_1_27636,10802,YCL005W-A,,0.15,0.254,
Lst|G1IA6-22735-MONOMER,Lipst1_1_35416,9867,,,0.189,,
Lst|G1IA6-17680-MONOMER,Lipst1_1_67992,16078,YNL330C,YALI0E22935g,1.944,1.801,1.588
Lst|G1IA6-19152-MONOMER,Lipst1_1_69993,8529,YKL056C,YALI0E27071g,0.743,0.794,0.709
Lst|G1IA6-20224-MONOMER,Lipst1_1_63214,,,YALI0C07821g,,,0.279
Lst|G1IA6-18089-MONOMER,Lipst1_1_1789,10086,YLL009C,YALI0C17391g,0.11,0.14,0.14
Lst|G1IA6-16469-MONOMER,Lipst1_1_122,9983,YLR369W,YALI0C17347g,1.944,1.801,1.588
Lst|G1IA6-17647-MONOMER,Lipst1_1_61431,13248,YJL143W,YALI0E15136g,0.678,0.73,0.65
Lst|G1IA6-23384-MONOMER,Lipst1_1_36837,12787,YDR191W,YALI0C23034g,0.524,0.838,1.057
Lst|G1IA6-23849-MONOMER,Lipst1_1_107986,15822,YHR024C,YALI0F13409g,1.415,1.639,1.232
Lst|G1IA6-17635-MONOMER,Lipst1_1_61240,,YJL020C,,,0.309,
Lst|G1IA6-22060-MONOMER,Lipst1_1_5241,13278,YLR222C,YALI0E32043g,1.944,1.801,1.588
Lst|G1IA6-18731-MONOMER,Lipst1_1_2300,12431,YOR005C,YALI0D21384g,1.391,1.182,1.588
Lst|G1IA6-23693-MONOMER,Lipst1_1_58791,9370,YBR268W,YALI0F18150g,0.13,0.176,0.186
Lst|G1IA6-23974-MONOMER,Lipst1_1_6978,16209,,,1.54,,
Lst|G1IA6-17847-MONOMER,Lipst1_1_78712,11632,YHL031C,YALI0D23353g,0.368,0.604,0.602
Lst|G1IA6-17164-MONOMER,Lipst1_1_68,13023,YPR086W,YALI0C02563g,0.892,1.079,1.22
Lst|G1IA6-18353-MONOMER,Lipst1_1_50271,15190,YDR246W,YALI0B22396g,0.571,0.244,0.551
Lst|G1IA6-22356-MONOMER,Lipst1_1_161356,,YMR313C,YALI0D17534g,,0.724,0.856
Lst|G1IA6-18210-MONOMER,Lipst1_1_235024,,YLR080W,YALI0E06347g,,0.177,0.323
Lst|G1IA6-23812-MONOMER,Lipst1_1_75793,8891,YOL004W,YALI0D26315g,1.944,1.801,1.588
Lst|G1IA6-16658-MONOMER,Lipst1_1_236,14056,YLR181C,YALI0C12617g,0.386,0.09,0.432
Lst|G1IA6-22926-MONOMER,Lipst1_1_74759,,,YALI0B08030g,,,0.54
Lst|G1IA6-22669-MONOMER,Lipst1_1_164299,,,YALI0F23485g,,,0.772
Lst|G1IA6-16656-MONOMER,Lipst1_1_230,9328,YDR128W,YALI0A18744g,1.274,1.658,1.584
Lst|G1IA6-22562-MONOMER,Lipst1_1_74233,16151,YDR470C,YALI0B05852g,0.141,0.379,0.466
Lst|G1IA6-17571-MONOMER,Lipst1_1_41838,12303,YMR123W,YALI0F30004g,0.131,0.171,0.18
Lst|G1IA6-22123-MONOMER,Lipst1_1_56539,12550,YLR059C,YALI0E26939g,0.434,0.599,0.582
Lst|G1IA6-23127-MONOMER,Lipst1_1_6120,16585,YPL058C,YALI0B12980g,1.944,1.801,1.588
Lst|G1IA6-16594-MONOMER,Lipst1_1_141437,9079,YDL103C,YALI0E03146g,1.719,1.414,1.559
Lst|G1IA6-17722-MONOMER,Lipst1_1_68234,9760,YGR113W,YALI0F05236g,0.085,0.095,0.126
Lst|G1IA6-16899-MONOMER,Lipst1_1_642,15613,YPR131C,YALI0D13860g,0.625,0.599,0.672
Lst|G1IA6-20909-MONOMER,Lipst1_1_72365,12472,YJL210W,YALI0F01012g,0.545,0.075,0.687
Lst|G1IA6-18573-MONOMER,Lipst1_1_69534,12822,,,0.526,,
Lst|G1IA6-19713-MONOMER,Lipst1_1_70511,12421,YMR120C,YALI0D24409g,1.944,1.801,1.588
Lst|G1IA6-23960-MONOMER,Lipst1_1_6921,16032,YER031C,YALI0D14630g,1.289,0.99,0.967
Lst|G1IA6-21795-MONOMER,Lipst1_1_73352,,YIR032C,YALI0F06710g,,0.354,0.545
Lst|G1IA6-23175-MONOMER,Lipst1_1_6274,,YLR014C,YALI0B09713g,,1.259,1.4
Lst|G1IA6-19868-MONOMER,Lipst1_1_104576,16402,,YALI0C21582g,1.795,,1.588
Lst|G1IA6-21939-MONOMER,Lipst1_1_149323,15576,YFL009W,YALI0E15290g,1.804,0.985,1.588
Lst|G1IA6-20831-MONOMER,Lipst1_1_72076,13098,YGR252W,YALI0E02772g,1.883,1.801,1.588
Lst|G1IA6-22565-MONOMER,Lipst1_1_74246,,YMR071C,YALI0C13816g,,0.376,0.533
Lst|G1IA6-23190-MONOMER,Lipst1_1_6326,,,YALI0D22979g,,,0.406
Lst|G1IA6-23617-MONOMER,Lipst1_1_120598,12598,YER159C,YALI0E08184g,0.233,0.228,0.443
Lst|G1IA6-20540-MONOMER,Lipst1_1_301906,,,YALI0B16192g,,,1.359
Lst|G1IA6-18783-MONOMER,Lipst1_1_244782,,,YALI0F01628g,,,0.597
Lst|G1IA6-19251-MONOMER,Lipst1_1_92660,,,YALI0C20911g,,,0.892
Lst|G1IA6-17996-MONOMER,Lipst1_1_103302,10184,YKL217W,YALI0B19470g,1.054,1.177,1.588
Lst|G1IA6-22806-MONOMER,Lipst1_1_5918,16677,YNL001W,YALI0B20658g,1.231,0.721,0.207
Lst|G1IA6-17300-MONOMER,Lipst1_1_1113,10681,YGL153W,YALI0E09405g,0.419,0.377,0.604
Lst|G1IA6-18988-MONOMER,Lipst1_1_50963,15070,YLR004C,YALI0F16423g,1.272,1.449,0.913
Lst|G1IA6-23954-MONOMER,Lipst1_1_6896,13458,YDR375C,YALI0D03509g,1.847,1.801,1.588
Lst|G1IA6-20151-MONOMER,Lipst1_1_3546,9364,YMR058W,YALI0D07282g,1.34,1.801,1.588
Lst|G1IA6-21516-MONOMER,Lipst1_1_327253,,YPR104C,YALI0B15246g,,0.596,0.657
Lst|G1IA6-23102-MONOMER,Lipst1_1_57798,12642,YPR002W,YALI0F02497g,1.944,1.801,1.588
Lst|G1IA6-19159-MONOMER,Lipst1_1_70015,9750,YPL247C,YALI0F31933g,0.578,0.74,0.958
Lst|G1IA6-18781-MONOMER,Lipst1_1_244400,,YPR194C,YALI0A03949g,,1.801,1.588
Lst|G1IA6-18626-MONOMER,Lipst1_1_103773,13234,YBR187W,YALI0C07304g,0.655,0.648,0.54
Lst|G1IA6-20715-MONOMER,Lipst1_1_4155,12545,YGL225W,YALI0F21791g,1.469,1.313,1.398
Lst|G1IA6-24186-MONOMER,Lipst1_1_76320,,YPL096W,YALI0C23562g,,0.733,0.925
Lst|G1IA6-18755-MONOMER,Lipst1_1_2391,13369,,YALI0A10362g,1.944,,1.588
Lst|G1IA6-19462-MONOMER,Lipst1_1_2789,11517,YOR069W,YALI0A16797g,0.774,0.789,1.05
Lst|G1IA6-23895-MONOMER,Lipst1_1_197270,9743,,,1.944,,
Lst|G1IA6-21360-MONOMER,Lipst1_1_72707,,YPL128C,YALI0B18018g,,0.549,1.067
Lst|G1IA6-16830-MONOMER,Lipst1_1_497,10555,,,0.435,,
Lst|G1IA6-21024-MONOMER,Lipst1_1_311195,11061,YJL201W,YALI0B19052g,0.2,0.211,0.526
Lst|G1IA6-23969-MONOMER,Lipst1_1_6957,15005,,,1.153,,
Lst|G1IA6-21511-MONOMER,Lipst1_1_325974,9148,YML010W,YALI0C11561g,1.543,1.659,1.588
Lst|G1IA6-23752-MONOMER,Lipst1_1_6778,10337,YAR003W,YALI0C22858g,0.747,0.896,1.356
Lst|G1IA6-21800-MONOMER,Lipst1_1_73368,9182,YIL128W,YALI0D16841g,1.292,0.884,1.199
Lst|G1IA6-16422-MONOMER,Lipst1_1_101997,8908,,YALI0F28655g,1.944,,1.588
Lst|G1IA6-22441-MONOMER,Lipst1_1_5537,14601,YJR076C,YALI0E17765g,1.831,1.12,1.523
Lst|G1IA6-20216-MONOMER,Lipst1_1_53072,8500,YLR314C,YALI0D23595g,1.944,1.432,1.588
Lst|G1IA6-19423-MONOMER,Lipst1_1_275034,,,YALI0E03498g,,,0.292
Lst|G1IA6-19240-MONOMER,Lipst1_1_80449,15280,,YALI0B13860g,0.387,,0.301
Lst|G1IA6-20055-MONOMER,Lipst1_1_3250,10439,,,1.366,,
Lst|G1IA6-18747-MONOMER,Lipst1_1_2363,14237,YJL026W,YALI0B03630g,1.944,1.801,1.588
Lst|G1IA6-21584-MONOMER,Lipst1_1_4694,,YOR320C,,,0.278,
Lst|G1IA6-18485-MONOMER,Lipst1_1_69180,15162,YAL015C,YALI0F03641g,0.315,0.239,0.332
Lst|G1IA6-17562-MONOMER,Lipst1_1_35733,,YDL114W,,,0.423,
Lst|G1IA6-20290-MONOMER,Lipst1_1_71298,15655,YJL094C,,1.71,1.325,
Lst|G1IA6-18364-MONOMER,Lipst1_1_61730,15972,YEL003W,YALI0D06578g,0.25,0.235,0.325
Lst|G1IA6-20506-MONOMER,Lipst1_1_294824,16017,YDR265W,YALI0C01023g,0.572,0.591,0.794
Lst|G1IA6-20078-MONOMER,Lipst1_1_3313,11982,YGL253W,YALI0B22308g,1.672,1.801,1.588
Lst|G1IA6-20065-MONOMER,Lipst1_1_3271,13717,YNL252C,YALI0E24805g,0.405,0.465,0.48
Lst|G1IA6-21156-MONOMER,Lipst1_1_4304,13165,YHR010W,YALI0B05896g,0.683,0.784,0.642
Lst|G1IA6-16677-MONOMER,Lipst1_1_275,16276,YLR209C,YALI0F30129g,0.795,0.955,1.018
Lst|G1IA6-23043-MONOMER,Lipst1_1_175253,9569,,,0.3,,
Lst|G1IA6-19283-MONOMER,Lipst1_1_104446,16041,YHR169W,YALI0E02552g,1.357,1.67,1.588
Lst|G1IA6-21965-MONOMER,Lipst1_1_153823,15427,,YALI0D08360g,0.484,,0.76
Lst|G1IA6-17728-MONOMER,Lipst1_1_68261,,YKL077W,YALI0D26554g,,0.408,0.276
Lst|G1IA6-20092-MONOMER,Lipst1_1_3355,9888,YER055C,YALI0C05170g,1.341,1.254,1.321
Lst|G1IA6-17882-MONOMER,Lipst1_1_884,12075,YHR192W,YALI0A10549g,0.258,0.06,0.33
Lst|G1IA6-21995-MONOMER,Lipst1_1_38946,15895,YOL003C,YALI0D26345g,0.455,0.509,0.613
Lst|G1IA6-17613-MONOMER,Lipst1_1_49055,,YDR284C,YALI0B14531g,,0.544,0.438
Lst|G1IA6-17548-MONOMER,Lipst1_1_32025,,,YALI0C15202g,,,0.625
Lst|G1IA6-20752-MONOMER,Lipst1_1_54184,14956,YDL055C,YALI0C06490g,1.944,1.801,1.588
Lst|G1IA6-18736-MONOMER,Lipst1_1_2321,,,YALI0F27599g,,,0.296
Lst|G1IA6-20967-MONOMER,Lipst1_1_105712,,YDR035W,YALI0B20020g,,1.727,1.467
Lst|G1IA6-22683-MONOMER,Lipst1_1_167039,,,YALI0B15620g,,,0.139
Lst|G1IA6-21560-MONOMER,Lipst1_1_36141,13646,,YALI0B03146g,0.466,,0.637
Lst|G1IA6-16527-MONOMER,Lipst1_1_130768,8623,YNL102W,YALI0E11869g,1.944,1.801,1.588
Lst|G1IA6-24151-MONOMER,Lipst1_1_7114,9417,,YALI0C21131g,0.315,,0.486
Lst|G1IA6-20961-MONOMER,Lipst1_1_105616,8699,,YALI0F06050g,0.949,,0.794
Lst|G1IA6-23399-MONOMER,Lipst1_1_58573,14805,,YALI0B10406g,1.211,,1.053
Lst|G1IA6-20884-MONOMER,Lipst1_1_72270,12242,YNL168C,YALI0B03080g,0.577,0.163,0.841
Lst|G1IA6-21146-MONOMER,Lipst1_1_4271,,YIR006C,YALI0D15304g,,0.598,1.088
Lst|G1IA6-16393-MONOMER,Lipst1_1_101445,,YER022W,YALI0F28435g,,0.348,0.633
Lst|G1IA6-21858-MONOMER,Lipst1_1_97009,10197,,YALI0C21494g,1.944,,1.588
Lst|G1IA6-17095-MONOMER,Lipst1_1_67654,,YDR245W,YALI0E25894g,,1.23,1.321
Lst|G1IA6-18024-MONOMER,Lipst1_1_1496,12713,YOR156C,YALI0E23342g,0.573,0.468,0.379
Lst|G1IA6-19296-MONOMER,Lipst1_1_117025,10224,YOR258W,YALI0E21890g,0.133,0.37,0.212
Lst|G1IA6-21665-MONOMER,Lipst1_1_4986,,,YALI0E21131g,,,1.588
Lst|G1IA6-22858-MONOMER,Lipst1_1_65484,14117,YOR272W,YALI0B12320g,0.635,1.472,1.074
Lst|G1IA6-17843-MONOMER,Lipst1_1_78327,10033,YDL008W,YALI0F17050g,0.283,0.297,0.388
Lst|G1IA6-19847-MONOMER,Lipst1_1_81593,,,YALI0E31793g,,,0.453
Lst|G1IA6-21160-MONOMER,Lipst1_1_4312,15497,YCR066W,YALI0A08580g,0.2,0.305,0.308
Lst|G1IA6-23587-MONOMER,Lipst1_1_99746,15438,YMR083W,YALI0A16379g,1.21,1.746,1.51
Lst|G1IA6-20665-MONOMER,Lipst1_1_3985,8372,YLR017W,YALI0B13420g,1.075,1.161,1.32
Lst|G1IA6-23923-MONOMER,Lipst1_1_40071,10269,YAL009W,YALI0D03091g,0.194,0.263,0.319
Lst|G1IA6-22954-MONOMER,Lipst1_1_74867,13948,YBR221C,YALI0E27005g,1.944,1.769,1.588
Lst|G1IA6-16630-MONOMER,Lipst1_1_148,,,YALI0F11627g,,,0.679
Lst|G1IA6-21820-MONOMER,Lipst1_1_73435,8972,YMR145C,YALI0F25135g,1.944,1.514,1.588
Lst|G1IA6-21979-MONOMER,Lipst1_1_29324,8612,YHR005C-A,YALI0E06237g,0.118,0.161,0.105
Lst|G1IA6-22111-MONOMER,Lipst1_1_56084,13739,YPL076W,YALI0B14223g,0.444,0.285,0.853
Lst|G1IA6-16957-MONOMER,Lipst1_1_67104,12516,YGL017W,YALI0E03894g,0.635,0.396,0.565
Lst|G1IA6-21860-MONOMER,Lipst1_1_97209,,YOR273C,,,1.563,
Lst|G1IA6-18430-MONOMER,Lipst1_1_68948,16623,YMR099C,YALI0D07084g,0.406,0.963,0.992
Lst|G1IA6-18513-MONOMER,Lipst1_1_69318,13198,YGL048C,YALI0D17204g,1.944,1.801,1.588
Lst|G1IA6-22567-MONOMER,Lipst1_1_74249,9133,,YALI0E13299g,0.789,,0.727
Lst|G1IA6-20378-MONOMER,Lipst1_1_71673,9135,YJL221C,,1.944,1.801,
Lst|G1IA6-20473-MONOMER,Lipst1_1_118311,15717,,YALI0E07095g,1.117,,1.588
Lst|G1IA6-21269-MONOMER,Lipst1_1_54828,13060,YML008C,YALI0F08701g,1.43,1.701,1.588
Lst|G1IA6-23928-MONOMER,Lipst1_1_59159,10529,Yli|G1FV3-24362-MONOMER,YALI0E27852g,1.739,1.588,1.588
Lst|G1IA6-20098-MONOMER,Lipst1_1_3368,11428,,YALI0D11440g,0.72,,0.202
Lst|G1IA6-19502-MONOMER,Lipst1_1_2954,15973,,YALI0F00924g,0.905,,0.963
